Gene,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000025154,-2.82476287975813,5.10220801450868,297.530160585913,1.14E-66,1.05E-64
ENSMUSG00000034206,-2.62395538989239,3.68115149846707,295.152106617539,3.75E-66,3.43E-64
ENSMUSG00000023104,-1.66909990218244,5.46422225484567,295.036007561177,3.97E-66,3.61E-64
ENSMUSG00000031262,-2.33046056972804,4.12521576487383,294.499989256302,5.20E-66,4.69E-64
ENSMUSG00000048922,-2.86941298223513,4.35419614672395,292.301735804873,1.57E-65,1.40E-63
ENSMUSG00000026039,-2.60712828022208,4.48447044688484,291.572705992257,2.26E-65,2.01E-63
ENSMUSG00000024791,-2.53575144832389,4.27136953863899,291.375610336893,2.49E-65,2.20E-63
ENSMUSG00000030677,-2.77570860020687,4.94163264350608,290.252782230298,4.38E-65,3.85E-63
ENSMUSG00000064032,-1.57095826089417,5.47093764150041,289.987058340326,5.00E-65,4.37E-63
ENSMUSG00000022945,-1.95304253325095,4.63719599556238,286.562507644979,2.79E-64,2.42E-62
ENSMUSG00000035365,-2.81760257659636,3.40672237182976,285.8369423325,4.01E-64,3.46E-62
ENSMUSG00000026821,2.26449837810011,7.94775345637285,280.612549066382,5.52E-63,4.72E-61
ENSMUSG00000021569,-2.31465486116353,3.90821299456372,279.387566899738,1.02E-62,8.67E-61
ENSMUSG00000022385,-2.55206489837558,4.27962816607379,278.974180869681,1.26E-62,1.06E-60
